,EU_Sales,Global_Sales,JP_Sales,NA_Sales,Other_Sales,genre,name,platform,publisher,rank,year
0,0.00,0.00,0.00,0.00,0.00,Action,sterreichische Feiertage Pro - Kalender fr 2016 in sterreich zur Urlaub und Ferien-Planung,iOS,N/A,30001,N/A
1,0.00,0.00,0.00,0.00,0.00,Action,Knight and King,iOS,N/A,30002,N/A
2,0.00,0.00,0.00,0.00,0.00,Action,???????:?? -???-,iOS,N/A,30003,N/A
3,0.00,0.00,0.00,0.00,0.00,Action,AAA Double Lucky Casino Edition Vegas - Free Game of Casino,iOS,N/A,30004,N/A
4,0.00,0.00,0.00,0.00,0.00,Action,Archer Revengente Of War - Quick Shudder Arrow Game,iOS,N/A,30005,N/A
5,0.00,0.00,0.00,0.00,0.00,Action,Escape Intriguing 13 Rooms Deluxe,iOS,N/A,30006,N/A
6,0.00,0.00,0.00,0.00,0.00,Action,Spirit Gate,iOS,N/A,30007,N/A
7,0.00,0.00,0.00,0.00,0.00,Action,VOGLINK,iOS,N/A,30008,N/A
8,0.00,0.00,0.00,0.00,0.00,Action,Lakeside AG Moultrie,iOS,N/A,30009,N/A
9,0.00,0.00,0.00,0.00,0.00,Action,pisobuy,iOS,N/A,30010,N/A
10,0.00,0.00,0.00,0.00,0.00,Action,Diamond  -Connect Gems,iOS,N/A,30011,N/A
11,0.00,0.00,0.00,0.00,0.00,Fighting,Tech Romancer,DC,Virgin Interactive,30012,2000
12,0.00,0.00,0.00,0.00,0.00,Racing,Car & Driver,PC,Electronic Arts,30013,1991
13,0.00,0.00,0.00,0.00,0.00,Fighting,The Last Blade,NG,SNK,30014,1998
14,0.00,0.00,0.00,0.00,0.00,Simulation,Tottoko Hamtaro: Tomodachi Daisakusen Dechu,GB,Nintendo,30015,2000
15,0.00,0.00,0.00,0.00,0.00,Shooter,Knightmare: Majou Densetsu,Wii,Konami Digital Entertainment,30016,2009
16,0.00,0.00,0.00,0.00,0.00,Action,Aban Hawkins & the 1000 SPIKES,X360,Microsoft Game Studios,30017,2011
